指标,说明
技术指标说明,
1. MA交叉(12%),MA5与MA20交叉是重要的趋势转换信号。当5日均线上穿20日均线时，表示可能开始上涨趋势。
2. 布林带(12%),布林带是以移动平均线为中轨，上下各加减两个标准差形成的带状区域。当价格接近下轨时，可能存在超卖机会。
3. RSI(8%),相对强弱指标，用于判断超买超卖。RSI低于30表示超卖，低于40表示较弱。
4. MACD(12%),平滑异同移动平均线，是重要的趋势指标。当MACD柱由负转正时，表示可能形成上涨趋势。
5. KDJ(8%),随机指标，用于判断超买超卖。K值小于20表示超卖，是买入机会。
6. 成交量(12%),成交量是价格变动的确认指标。当成交量较前期明显放大时，表示趋势更可靠。
7. DMI(8%),趋势方向指标，用于判断趋势强度。ADX大于25且+DI大于-DI时，表示上涨趋势强劲。
8. CCI(5%),顺势指标，用于判断价格偏离程度。CCI在-100到-80之间时，表示可能存在买入机会。
9. TRIX(5%),三重指数平滑移动平均指标，用于判断中长期趋势。TRIX由负转正且持续上升，表示趋势向好。
10. OBV(6%),能量潮指标，用于判断趋势的持续性。当OBV上升且大于其MA时，表示趋势向上。
11. WR(6%),威廉指标，用于判断超买超卖。WR小于-80表示超卖，小于-60表示较弱。
12. EMV(6%),简易波动指标，用于判断趋势的强度。当EMV大于其MA且大于0时，表示趋势向上。
,
信号得分说明,各指标得分根据其重要性赋予不同权重，总分大于0.3时产生买入信号。得分越高，信号越强。
,
筛选结果,以下是按信号得分排序的股票列表：
,
代码,名称,信号得分,当前价格,市值(亿),日成交额(亿),买入理由
600208,衢州发展,0.4877220164388149,3.48,296.11113984,11.57947295,MA5上穿MA20；MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
601872,招商轮船,0.4702842500270238,6.36,517.94608405,3.6297353,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；OBV上升趋势；WR超卖；EMV上升
600406,国电南瑞,0.4426032758833424,25.04,2011.41914913,8.3932109,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖；EMV上升
601238,广汽集团,0.43555316907844505,10.69,1103.21546354,30.05755159,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002131,利欧股份,0.4334828673852395,4.44,300.654841,41.0911004815,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
000792,盐湖股份,0.4259522584794023,17.6,954.55643127,7.6788430231,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖
603160,汇顶科技,0.4208167533060453,81.8,374.86140804,9.78498583,价格接近布林带下轨；KDJ超卖；成交量放大；CCI回归；WR超卖；EMV上升
600900,长江电力,0.41525763490333023,27.9,6829.07956454,36.61800093,MA5上穿MA20；MACD金叉；成交量放大；ADX强势；OBV上升趋势；EMV上升
601933,永辉超市,0.41,6.0,549.94724178,72.66717991,MACD金叉；成交量放大；TRIX上升；OBV上升趋势；EMV上升
002432,九安医疗,0.4033638664100859,42.71,209.55690116,4.13069042,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖
000921,海信家电,0.4000130800959515,27.3,378.38084057,2.247595712,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
600886,国投电力,0.3992166606428123,15.82,1179.25124389,6.50601653,MA5上穿MA20；MACD金叉；成交量放大；OBV上升趋势；EMV上升
002456,欧菲光,0.397939425274541,13.95,462.29116408,44.9685890235,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖；EMV上升
002714,牧原股份,0.3899963912051097,40.94,2237.51558411,11.594930458,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖；EMV上升
601519,大智慧,0.38716364404514225,11.25,225.43488,41.74339162,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
000564,供销大集,0.37942952471848096,3.67,664.53673143,78.742390432,MACD金叉；成交量放大；TRIX上升；OBV上升趋势；EMV上升
600418,江淮汽车,0.37084386263567504,34.9,763.52982293,35.30553147,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
600436,片仔癀,0.36946547358370957,229.99,1387.50891956,5.35977004,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖；EMV上升
600233,圆通速递,0.3691962902234361,14.56,501.64932811,3.17610221,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
600060,海信视像,0.3671495362727083,19.2,250.81566722,1.89135355,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
601229,上海银行,0.36601642745355295,8.39,1191.9402472,7.65002314,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
000066,中国长城,0.3646924758192373,16.98,548.06326505,38.5103730475,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
002938,鹏鼎控股,0.36,35.15,815.90155115,5.6552202713,MA5上穿MA20；MACD金叉；OBV上升趋势；EMV上升
002223,鱼跃医疗,0.3585491315027424,34.09,341.7443851,3.0345279952,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
600188,兖矿能源,0.3565927886106692,14.79,1484.89535346,3.98440309,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；OBV上升趋势；WR超卖；EMV上升
002371,北方华创,0.3550515665758067,405.33,2163.88700653,44.3109410554,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖
601000,唐山港,0.35442107675819795,4.5,267.25938049,3.99468021,MACD金叉；成交量放大；OBV上升趋势；EMV上升
301551,无线传媒,0.3542167813767592,60.35,241.20603,3.0348502273,价格接近布林带下轨；RSI超卖；成交量放大；OBV上升趋势；WR超卖；EMV上升
002312,川发龙蟒,0.35349222373594485,21.3,400.35085337,96.60723115110001,MACD金叉；成交量放大；TRIX上升；OBV上升趋势；EMV上升
600415,小商品城,0.35260071791433767,14.22,777.58099231,16.29180188,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600031,三一重工,0.3523138702979282,17.14,1452.61123554,15.79658912,价格接近布林带下轨；RSI超卖；成交量放大；CCI回归；WR超卖
600027,华电国际,0.3498975417245011,5.37,548.19727673,3.68668483,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；OBV上升趋势；WR超卖；EMV上升
600674,川投能源,0.3485551915134079,17.54,854.51857695,20.98055002,MACD金叉；成交量放大；OBV上升趋势；EMV上升
002353,杰瑞股份,0.348465639808952,34.8,356.60898663,2.63629388,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；WR超卖
600026,中远海能,0.34845638122633754,12.58,599.68659285,3.22303635,价格接近布林带下轨；RSI超卖；MACD金叉；成交量放大；CCI回归；OBV上升趋势；WR超卖；EMV上升
000062,深圳华强,0.34508214955462885,27.39,286.36997236,8.9957629971,价格接近布林带下轨；RSI超卖；成交量放大；OBV上升趋势；WR超卖；EMV上升
601666,平煤股份,0.34503838026327016,10.5,259.64284603,4.37881198,MA5上穿MA20；MACD金叉；成交量放大；OBV上升趋势；EMV上升
002152,广电运通,0.3426953605840436,13.6,337.74007413,21.6011913102,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600171,上海贝岭,0.33984454678219306,39.4,279.24488905,31.78372092,价格接近布林带下轨；RSI超卖；成交量放大；OBV上升趋势；WR超卖；EMV上升
000598,兴蓉环境,0.3385839160393606,7.13,212.79019561,1.6834668691999999,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖；EMV上升
601179,中国西电,0.3355949717077648,7.86,402.38176463,6.39175022,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；WR超卖；EMV上升
002261,拓维信息,0.3342341690328,20.39,256.16807324,16.1550971353,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
601988,中国银行,0.33116343516973823,5.09,14984.33857417,11.37760814,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600256,广汇能源,0.3299233699820299,7.23,474.04752104,3.19009477,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
600863,内蒙华电,0.3287002668992773,4.3,281.30886465,2.92095763,价格接近布林带下轨；RSI超卖；成交量放大；CCI回归；OBV上升趋势；WR超卖；EMV上升
002027,分众传媒,0.32675802904874857,7.01,1010.95398082,7.9873482186,价格接近布林带下轨；RSI超卖；成交量放大；CCI回归；OBV上升趋势；WR超卖；EMV上升
601818,光大银行,0.3223639933148534,3.68,2180.25683415,8.0812671,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600089,特变电工,0.31765933570388905,13.21,667.97917789,7.50591802,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
002195,岩山科技,0.3122175683572575,4.46,253.39688898,22.0474619085,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002850,科达利,0.3103750543867843,103.16,279.37837931,3.1386486929000004,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；WR超卖
