指标,说明
技术指标说明,
1. MA交叉(12%),MA5与MA20交叉是重要的趋势转换信号。当5日均线上穿20日均线时，表示可能开始上涨趋势。
2. 布林带(12%),布林带是以移动平均线为中轨，上下各加减两个标准差形成的带状区域。当价格接近下轨时，可能存在超卖机会。
3. RSI(8%),相对强弱指标，用于判断超买超卖。RSI低于30表示超卖，低于40表示较弱。
4. MACD(12%),平滑异同移动平均线，是重要的趋势指标。当MACD柱由负转正时，表示可能形成上涨趋势。
5. KDJ(8%),随机指标，用于判断超买超卖。K值小于20表示超卖，是买入机会。
6. 成交量(12%),成交量是价格变动的确认指标。当成交量较前期明显放大时，表示趋势更可靠。
7. DMI(8%),趋势方向指标，用于判断趋势强度。ADX大于25且+DI大于-DI时，表示上涨趋势强劲。
8. CCI(5%),顺势指标，用于判断价格偏离程度。CCI在-100到-80之间时，表示可能存在买入机会。
9. TRIX(5%),三重指数平滑移动平均指标，用于判断中长期趋势。TRIX由负转正且持续上升，表示趋势向好。
10. OBV(6%),能量潮指标，用于判断趋势的持续性。当OBV上升且大于其MA时，表示趋势向上。
11. WR(6%),威廉指标，用于判断超买超卖。WR小于-80表示超卖，小于-60表示较弱。
12. EMV(6%),简易波动指标，用于判断趋势的强度。当EMV大于其MA且大于0时，表示趋势向上。
,
买入价格说明,建议买入价格基于以下因素综合计算：
1. 支撑位(30%),参考近期最低价位
2. 均线价格(20%),参考MA5和MA20的均值
3. 布林带支撑(30%),参考布林带下轨
4. VWAP(20%),参考近5日成交量加权平均价
,建议在价格区间内分批建仓
,
筛选结果,以下是按信号得分排序的股票列表：
,
代码,名称,信号得分,当前价格,建议买入价,建议价格区间,市值(亿),日成交额(亿),买入理由
002131,利欧股份,0.49,4.45,,,299.3,128.23,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
601225,陕西煤业,0.46,24.94,,,2415.02,14.66,MA5上穿MA20；MACD金叉；成交量放大；OBV上升趋势；EMV上升
601857,中国石油,0.46,8.42,,,15410.37,34.45,MA5上穿MA20；MACD金叉；成交量放大；OBV上升趋势；EMV上升
600938,中国海油,0.45,27.45,,,13042.22,18.12,MA5上穿MA20；MACD金叉；成交量放大；OBV上升趋势；EMV上升
603160,汇顶科技,0.42,81.8,,,374.86,9.78,价格接近布林带下轨；KDJ超卖；成交量放大；CCI回归；WR超卖；EMV上升
002195,岩山科技,0.42,4.49,,,253.97,52.06,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
601088,中国神华,0.41,42.08,,,8354.71,23.27,MA5上穿MA20；MACD金叉；成交量放大；OBV上升趋势；EMV上升
601519,大智慧,0.4,11.76,,,234.05,49.97,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600161,天坛生物,0.4,20.97,,,414.65,3.69,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖
603728,鸣志电器,0.4,60.02,,,251.33,15.44,MA5上穿MA20；MACD金叉；TRIX上升；OBV上升趋势；EMV上升
601933,永辉超市,0.4,6.16,,,559.02,81.01,MACD金叉；成交量放大；TRIX上升；OBV上升趋势；EMV上升
601872,招商轮船,0.4,6.37,,,518.76,4.1,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归；WR超卖；EMV上升
