指标,说明
技术指标说明,
1. MA交叉(12%),MA5与MA20交叉是重要的趋势转换信号。当5日均线上穿20日均线时，表示可能开始上涨趋势。
2. 布林带(12%),布林带是以移动平均线为中轨，上下各加减两个标准差形成的带状区域。当价格接近下轨时，可能存在超卖机会。
3. RSI(8%),相对强弱指标，用于判断超买超卖。RSI低于30表示超卖，低于40表示较弱。
4. MACD(12%),平滑异同移动平均线，是重要的趋势指标。当MACD柱由负转正时，表示可能形成上涨趋势。
5. KDJ(8%),随机指标，用于判断超买超卖。K值小于20表示超卖，是买入机会。
6. 成交量(12%),成交量是价格变动的确认指标。当成交量较前期明显放大时，表示趋势更可靠。
7. DMI(8%),趋势方向指标，用于判断趋势强度。ADX大于25且+DI大于-DI时，表示上涨趋势强劲。
8. CCI(5%),顺势指标，用于判断价格偏离程度。CCI在-100到-80之间时，表示可能存在买入机会。
9. TRIX(5%),三重指数平滑移动平均指标，用于判断中长期趋势。TRIX由负转正且持续上升，表示趋势向好。
10. OBV(6%),能量潮指标，用于判断趋势的持续性。当OBV上升且大于其MA时，表示趋势向上。
11. WR(6%),威廉指标，用于判断超买超卖。WR小于-80表示超卖，小于-60表示较弱。
12. EMV(6%),简易波动指标，用于判断趋势的强度。当EMV大于其MA且大于0时，表示趋势向上。
,
信号得分说明,各指标得分根据其重要性赋予不同权重，总分大于0.3时产生买入信号。得分越高，信号越强。
,
筛选结果,以下是按信号得分排序的股票列表：
,
代码,名称,信号得分,当前价格,市值(亿),日成交额(亿),买入理由
002756,永兴材料,0.41,42.23,227.55,0.36,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
600089,特变电工,0.41,13.03,658.88,0.96,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
600436,片仔癀,0.4,226.17,1362.53,0.81,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
000981,山子高科,0.39,2.6,256.94,23.61,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
603259,药明康德,0.38,58.2,1683.7,40.68,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
603338,浙江鼎力,0.37,63.71,320.67,0.54,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
603662,柯力传感,0.37,71.72,203.08,20.33,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600745,闻泰科技,0.37,36.88,459.45,2.17,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
603979,金诚信,0.36,41.41,258.55,0.68,MA5上穿MA20；MACD金叉；OBV上升趋势；EMV上升
601799,星宇股份,0.36,131.8,374.93,0.44,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
000629,钒钛股份,0.35,3.36,312.31,6.14,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600031,三一重工,0.35,16.81,1425.49,1.5,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
601336,新华保险,0.34,52.0,1639.01,8.92,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
002812,恩捷股份,0.34,36.66,355.97,0.71,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；OBV上升趋势；WR超卖；EMV上升
002371,北方华创,0.32,404.65,2153.86,3.72,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
000099,中信海直,0.32,26.84,208.29,1.49,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖；EMV上升
600029,南方航空,0.32,7.0,1268.46,1.34,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
000933,神火股份,0.32,17.12,385.31,1.16,MACD金叉；ADX强势；OBV上升趋势；EMV上升
600096,云天化,0.31,21.63,396.95,0.72,价格接近布林带下轨；KDJ超卖；CCI回归；OBV上升趋势；WR超卖；EMV上升
600863,内蒙华电,0.31,4.4,287.84,0.71,MA5上穿MA20；MACD金叉；OBV上升趋势；EMV上升
600157,永泰能源,0.31,1.97,439.91,50.64,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600518,康美药业,0.31,2.93,404.82,23.6,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
001286,陕西能源,0.31,9.8,367.88,0.38,MA5上穿MA20；MACD金叉；OBV上升趋势；EMV上升
600011,华能国际,0.31,7.17,1128.69,1.03,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
002670,国盛金控,0.3,13.12,254.27,2.35,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
000627,天茂集团,0.3,5.09,251.97,8.49,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
