指标,说明
技术指标说明,
1. MA交叉(15%),MA5与MA20交叉是重要的趋势转换信号。当5日均线上穿20日均线时，表示可能开始上涨趋势。
2. 布林带(15%),布林带是以移动平均线为中轨，上下各加减两个标准差形成的带状区域。当价格接近下轨时，可能存在超卖机会。
3. RSI(10%),相对强弱指标，用于判断超买超卖。RSI低于30表示超卖，低于40表示较弱。
4. MACD(15%),平滑异同移动平均线，是重要的趋势指标。当MACD柱由负转正时，表示可能形成上涨趋势。
5. KDJ(10%),随机指标，用于判断超买超卖。K值小于20表示超卖，是买入机会。
6. 成交量(15%),成交量是价格变动的确认指标。当成交量较前期明显放大时，表示趋势更可靠。
7. DMI(10%),趋势方向指标，用于判断趋势强度。ADX大于25且+DI大于-DI时，表示上涨趋势强劲。
8. CCI(5%),顺势指标，用于判断价格偏离程度。CCI在-100到-80之间时，表示可能存在买入机会。
9. TRIX(5%),三重指数平滑移动平均指标，用于判断中长期趋势。TRIX由负转正且持续上升，表示趋势向好。
,
信号得分说明,各指标得分根据其重要性赋予不同权重，总分大于0.3时产生买入信号。得分越高，信号越强。
,
筛选结果,以下是按信号得分排序的股票列表：
,
代码,名称,信号得分,当前价格,市值(亿),日成交额(亿),买入理由
600745,闻泰科技,0.4747935590180797,37.5,466.53849188,40.85540862,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
601519,大智慧,0.4664485253316214,10.23,204.99545088,16.57025306,MA5上穿MA20；MACD金叉；成交量放大；ADX强势；TRIX上升
002670,国盛金控,0.45865570314926346,13.25,256.39871652,24.665441358800003,MA5上穿MA20；MACD金叉；成交量放大；TRIX上升
002223,鱼跃医疗,0.45733610932657764,34.3,343.84958665,3.8329038632,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
600023,浙能电力,0.4446863198687519,5.47,733.45768137,3.83101433,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
600027,华电国际,0.42147819395363195,5.3,542.06074005,3.85170604,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大
600436,片仔癀,0.42071535231814905,232.67,1403.73815251,7.7507802,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大
002422,科伦药业,0.4197970910894703,34.31,549.50627456,10.7318734403,MA5上穿MA20；MACD金叉；成交量放大
600089,特变电工,0.41549957125051074,13.34,674.04252897,11.56044165,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大
601872,招商轮船,0.4106357736773365,6.33,515.50294214,3.97709107,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大
601799,星宇股份,0.4073888632991498,133.0,379.95362727,2.96384959,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大
601669,中国电建,0.40508103901103826,5.56,957.77445897,8.38926557,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
600188,兖矿能源,0.39950456271805346,14.68,1473.85150701,4.29187818,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大
601179,中国西电,0.39924295918945074,7.66,392.64258816,4.20390099,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
000400,许继电气,0.38343047294417126,26.52,270.20546675,6.0903857542,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
001979,招商蛇口,0.37847813568410876,12.09,1095.4550938,23.7302024724,MA5上穿MA20；MACD金叉；成交量放大；TRIX上升
002352,顺丰控股,0.37422212405321503,41.19,2053.8104183,11.246090266500001,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
002001,新 和 成,0.372869669316203,21.84,675.05416655,6.473897046,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
600985,淮北矿业,0.3680938587781208,14.48,389.98386106,3.80889454,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大
603160,汇顶科技,0.3635209416325566,81.8,374.86140804,9.78498583,价格接近布林带下轨；KDJ超卖；成交量放大；CCI回归
600406,国电南瑞,0.3598358365786349,24.64,1979.28785282,6.72658995,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大
600021,上海电力,0.35951998321907996,9.51,267.87232064,3.93728048,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
000999,华润三九,0.35364434596245053,44.98,577.67754851,5.7929307753999995,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
002241,歌尔股份,0.3490174242643652,26.1,907.22650586,40.8097062856,MA5上穿MA20；MACD金叉；成交量放大；ADX强势；TRIX上升
600839,四川长虹,0.3472379121235106,11.31,522.09722151,61.59820217,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
000921,海信家电,0.3461509463800154,27.3,378.38084057,3.0688066488,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归
002714,牧原股份,0.3405751094455765,40.96,2238.60865475,10.8509169516,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
000528,柳    工,0.3404615717420532,11.13,220.84060689,3.3596445611,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归
002456,欧菲光,0.3398154819220906,13.86,458.97962279,41.901754102,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归
600256,广汇能源,0.33832680538054444,7.21,473.39094552,5.65524675,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大
600026,中远海能,0.3371483428606557,12.49,595.86997174,3.12912242,价格接近布林带下轨；RSI超卖；成交量放大；CCI回归
600233,圆通速递,0.33633102702405976,14.59,502.68294623,3.39745787,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归
600863,内蒙华电,0.3343177894369214,4.26,278.04542075,2.83788334,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
000933,神火股份,0.3324937512416136,16.26,365.74440252,5.1176040773,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
002850,科达利,0.32592012591608777,105.01,284.3885577,3.1412892363,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
600050,中国联通,0.3242758991822535,5.15,1637.72993757,21.04255003,价格接近布林带下轨；KDJ超卖；成交量放大；ADX强势
600348,华阳股份,0.3213756536861543,7.47,269.48025,2.24737981,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
002594,比亚迪,0.3208602372631337,282.4,8215.76677452,42.5561676838,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
000983,山西焦煤,0.3203603431566598,8.19,464.95457673,2.8361074483,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
601985,中国核电,0.3185794760142958,9.5,1793.91206237,11.04649178,价格接近布林带下轨；KDJ超卖；成交量放大；CCI回归
600483,福能股份,0.3171734347048438,9.44,255.79169717,2.28746006,价格接近布林带下轨；KDJ超卖；成交量放大；CCI回归
002821,凯莱英,0.3160684078500676,82.5,303.36743498,3.5165693595999996,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
603986,兆易创新,0.31581155302340175,84.78,563.04441622,20.2544756,价格接近布林带下轨；RSI超卖；成交量放大；CCI回归
002128,电投能源,0.31330909227657355,20.14,451.45290149,3.2165480024,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大
002195,岩山科技,0.30835068860213816,4.05,230.10255614,24.1616940175,MACD金叉；成交量放大；ADX强势；TRIX上升
603606,东方电缆,0.30651313365866156,58.5,402.31349028,5.43967633,MA5上穿MA20；MACD金叉；成交量放大；TRIX上升
002601,龙佰集团,0.305204449037791,18.36,438.1234418,5.102967946000001,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
601600,中国铝业,0.30382012237566625,7.59,1302.17826719,10.76177998,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；CCI回归
002920,德赛西威,0.3033049207919688,123.52,685.48589288,10.3976555299,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大
601816,京沪高铁,0.3025097415718211,6.03,2961.12102204,34.63692309,MACD金叉；成交量放大；TRIX上升
