指标,说明
技术指标说明,
1. MA交叉(12%),MA5与MA20交叉是重要的趋势转换信号。当5日均线上穿20日均线时，表示可能开始上涨趋势。
2. 布林带(12%),布林带是以移动平均线为中轨，上下各加减两个标准差形成的带状区域。当价格接近下轨时，可能存在超卖机会。
3. RSI(8%),相对强弱指标，用于判断超买超卖。RSI低于30表示超卖，低于40表示较弱。
4. MACD(12%),平滑异同移动平均线，是重要的趋势指标。当MACD柱由负转正时，表示可能形成上涨趋势。
5. KDJ(8%),随机指标，用于判断超买超卖。K值小于20表示超卖，是买入机会。
6. 成交量(12%),成交量是价格变动的确认指标。当成交量较前期明显放大时，表示趋势更可靠。
7. DMI(8%),趋势方向指标，用于判断趋势强度。ADX大于25且+DI大于-DI时，表示上涨趋势强劲。
8. CCI(5%),顺势指标，用于判断价格偏离程度。CCI在-100到-80之间时，表示可能存在买入机会。
9. TRIX(5%),三重指数平滑移动平均指标，用于判断中长期趋势。TRIX由负转正且持续上升，表示趋势向好。
10. OBV(6%),能量潮指标，用于判断趋势的持续性。当OBV上升且大于其MA时，表示趋势向上。
11. WR(6%),威廉指标，用于判断超买超卖。WR小于-80表示超卖，小于-60表示较弱。
12. EMV(6%),简易波动指标，用于判断趋势的强度。当EMV大于其MA且大于0时，表示趋势向上。
,
信号得分说明,各指标得分根据其重要性赋予不同权重，总分大于0.3时产生买入信号。得分越高，信号越强。
,
筛选结果,以下是按信号得分排序的股票列表：
,
代码,名称,信号得分,当前价格,市值(亿),日成交额(亿),买入理由
000807,云铝股份,0.41,15.04,523.31,6.24,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
000878,云南铜业,0.41,13.36,267.68,2.84,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
603816,顾家家居,0.41,30.4,250.1,1.4,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
600707,彩虹股份,0.39,7.53,270.21,1.55,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
000100,TCL科技,0.38,5.05,948.34,26.83,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
002384,东山精密,0.38,28.42,484.31,9.6,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
603662,柯力传感,0.37,82.9,236.9,34.21,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
603529,爱玛科技,0.37,43.71,375.62,1.29,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
000960,锡业股份,0.37,15.17,250.0,2.6,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势；EMV上升
002371,北方华创,0.36,393.3,2096.66,7.38,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
600489,中金黄金,0.36,12.96,627.73,3.23,MA5上穿MA20；MACD金叉；OBV上升趋势；EMV上升
600745,闻泰科技,0.35,35.64,443.4,9.38,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
600298,安琪酵母,0.35,36.39,316.1,1.34,MA5上穿MA20；MACD金叉；ADX强势；OBV上升趋势
600170,上海建工,0.34,2.98,264.8,10.62,MACD金叉；成交量放大；TRIX上升；OBV上升趋势；EMV上升
002670,国盛金控,0.33,15.48,301.49,21.2,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002466,天齐锂业,0.32,37.2,610.7,2.3,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；OBV上升趋势；WR超卖
000933,神火股份,0.32,18.18,409.38,6.37,MACD金叉；ADX强势；OBV上升趋势；EMV上升
301236,软通动力,0.32,66.29,629.32,21.94,MA5上穿MA20；MACD金叉；OBV上升趋势；EMV上升
600436,片仔癀,0.31,224.8,1354.57,1.81,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
601933,永辉超市,0.31,6.42,567.19,39.52,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600089,特变电工,0.31,13.05,658.88,2.0,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
002583,海能达,0.31,16.51,300.05,6.44,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
601865,福莱特,0.31,24.08,563.47,0.68,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
000158,常山北明,0.31,24.56,392.46,7.64,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
603659,璞泰来,0.3,18.35,392.38,0.99,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
002129,TCL中环,0.3,10.01,404.72,2.62,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
