,code,name,signal,price,date,market_value,daily_amount
000063,000063,中兴通讯,卖出,32.78,2024-11-08,156803657332.0,8240081467.51
000066,000066,中国长城,卖出,22.36,2024-11-08,72128867608.0,11286302720.62
000099,000099,中信海直,卖出,33.1,2024-11-08,25677991535.0,6665647360.6
000513,000513,丽珠集团,买入,38.19,2024-11-08,35402481157.0,514906049.72
000538,000538,云南白药,卖出,60.61,2024-11-08,108144156368.0,1055857035.01
000564,000564,供销大集,卖出,2.88,2024-11-08,55191678725.0,282997356.48
000568,000568,泸州老窖,卖出,151.0,2024-11-08,222266941953.0,4676432985.37
000596,000596,古井贡酒,卖出,212.4,2024-11-08,112274640000.0,881170808.52
000623,000623,吉林敖东,卖出,18.5,2024-11-08,22124064660.0,601418359.17
000627,000627,天茂集团,卖出,4.5,2024-11-08,22232831243.0,2189359607.6
000728,000728,国元证券,卖出,9.21,2024-11-08,40190394376.0,1239864333.7
000793,000793,华闻集团,卖出,3.33,2024-11-08,6650827372.0,1587965861.23
000799,000799,酒鬼酒,卖出,61.66,2024-11-08,20035120907.0,2796297631.15
000807,000807,云铝股份,卖出,16.2,2024-11-08,56180909961.0,1210280321.12
000860,000860,顺鑫农业,卖出,21.36,2024-11-08,15844142885.0,1818585140.68
000875,000875,吉电股份,卖出,6.0,2024-11-08,16741249044.0,784360897.74
000893,000893,亚钾国际,卖出,22.06,2024-11-08,20490457185.0,471168433.18
000921,000921,海信家电,买入,31.6,2024-11-08,43797928798.0,1062252654.27
000938,000938,紫光股份,卖出,28.21,2024-11-08,80682853246.0,5504878609.07
000963,000963,华东医药,卖出,36.04,2024-11-08,63223622230.0,665304856.2
000975,000975,山金国际,买入,16.78,2024-11-08,46593399607.0,1000170776.03
000977,000977,浪潮信息,卖出,51.71,2024-11-08,76124107159.0,8767205355.82
000981,000981,山子高科,卖出,2.0,2024-11-08,19994941776.0,194724650.0
001287,001287,中电港,买入,20.58,2024-11-08,15638743996.0,429668771.94
001339,001339,智微智能,买入,37.9,2024-11-08,9515377106.0,435719358.01
001379,001379,腾达科技,卖出,30.2,2024-11-08,6040000000.0,643110576.32
002036,002036,联创电子,卖出,11.27,2024-11-08,12042830592.0,2507480924.14
002049,002049,紫光国微,买入,71.15,2024-11-08,60450598327.0,3310774420.48
002077,002077,大港股份,卖出,16.27,2024-11-08,9442270307.0,859336119.27
002078,002078,太阳纸业,买入,14.45,2024-11-08,40381581570.0,695633143.43
002146,002146,荣盛发展,卖出,2.43,2024-11-08,10566038158.0,1472418869.98
002151,002151,北斗星通,卖出,30.73,2024-11-08,16702755507.0,1219730854.42
002178,002178,延华智能,卖出,9.83,2024-11-08,7000464000.0,2723433420.64
002195,002195,岩山科技,卖出,3.44,2024-11-08,19544513410.0,2243637711.36
002222,002222,福晶科技,卖出,35.23,2024-11-08,16566907500.0,2298376609.62
